[ 1590482ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1594475ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1597623ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1600855ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1603289ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1607934ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1612817ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1613820ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1614823ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1615828ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1616831ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1617836ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1618942ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1619950ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1620972ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1622002ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1623058ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1624161ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1625267ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1626618ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1628122ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1631586ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1637132ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1640499ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1644023ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1647133ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1652558ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1656275ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1660672ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1664400ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1668539ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1673801ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1676426ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1679207ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1683708ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1686132ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1688742ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1691105ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1696273ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1699689ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1701936ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1705751ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1709858ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1713192ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1716958ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1720975ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1724329ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1727291ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1732743ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1733879ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1735079ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1736089ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1737093ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1738103ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1739124ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1740139ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1741153ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1742170ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1743222ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1744355ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1745665ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1747186ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
